id,name,type,birth,age,position,country,number,duration
JL,Juliet Lohuis,0,1996,2,0,1,4,2
MT,Mira Todorova,0,1994,3,0,2,17,1
ET,Eline Timmerman,0,1998,1,0,1,,0
HK,Hannah Kohn,0,2003,0,1,0,,0
IVDV,Ilka Van De Vyver,0,1993,3,1,3,,0
JN,Julia Nowicka,0,1998,1,1,4,,0
SL,Simone Lee,0,1996,2,2,5,10,1
MSP,Maria Segura Palleres,0,1992,3,2,6,3,1
HJ,Hester Jasper,0,2001,0,2,1,6,1
HD,Helena Dornheim,0,2004,0,2,0,14,3
KR,Krystal Rivers,0,1994,3,3,5,13,3
LB,Lara Berger,0,2001,0,3,0,15,2
RK,Roosa Koskelo,0,1991,3,4,7,1,3
LG,Lena Grundt,0,2004,0,4,0,5,1
SU,SetUp 65,1,,,,,,
TTP,Talent Team Papendal,1,,,,,,
EA,Eurosped Almelo,1,,,,,,
CA,Coolen Alterno,1,,,,,,
UM,USC M端nster,1,,,,,,
RCC,RC Cannes,1,,,,,,
VLC,Volero Le Cannet,1,,,,,,
VZ,Volero Zuerich,1,,,,,,
LCVB,Le Cannet Volley Ball,1,,,,,,
SAP,SmAesch Pfeffingen,1,,,,,,
VM,VC Maritza,1,,,,,,
AA,Alterno Apeldoorn,1,,,,,,
EST,Eurosped Twente,1,,,,,,
LBA,Ladies in Black Aachen,1,,,,,,
VU,VfB Ulm,1,,,,,,
OSPS,Olympiast端tzpunkt Stuttgart,1,,,,,,
BSP,Bundesst端tzpunkt Stuttgart,1,,,,,,
AK,Asterix Kieldrecht,1,,,,,,
IBF,Il Bisonte Firenze,1,,,,,,
CL,Calcit Ljubljana,1,,,,,,
RRV,Rote Raben Vilsbiburg,1,,,,,,
CSMT,CSM Targoviste,1,,,,,,
GBL,Grot Budowlani Lodz,1,,,,,,
BPCBB,BKS Profi Credit Bielsko-Biala,1,,,,,,
KPB,KS Palac Bydgoszcz U20,1,,,,,,
SPS,SMS PZPS Szczyrk,1,,,,,,
KAF,Kurobe AquaFairies,1,,,,,,
B,Beylikduezue,1,,,,,,
IVC,Imoco Volley Conegliano,1,,,,,,
PSU,Penn State University,1,,,,,,
BVMB,Banca Valsabbina Millenium Brescia,1,,,,,,
DSC,Dresdner SC 1898,1,,,,,,
BSBC,Bosca San Bernardo Cuneo,1,,,,,,
STM,Saugella Team Monza,1,,,,,,
DIT,Delta Informatica Trentino,1,,,,,,
GHO,Geovillage Hermaea Olbia,1,,,,,,
CVB,CV Barcelona,1,,,,,,
SLT,VfB Suhl Lotto Thueringen,1,,,,,,
VCS,VC Sneek,1,,,,,,
AS,Allianz MTV Stuttgart II,1,,,,,,
UOA,University of Alabama,1,,,,,,
BA,Beziers Angels,1,,,,,,
LBMN,Luka Bar MNE,1,,,,,,
FVTM,FV T端binger Modell,1,,,,,,
MTVS,Allianz MTV Stuttgart,1,,,,,,
VCOB,VCO Berlin,1,,,,,,
ONKB,OK Nova KBM Branik,1,,,,,,
LPV,LP Viesti,1,,,,,,
LPK,LP Kangasala,1,,,,,,
HL,Haemeenlinnan Lentopallokerho,1,,,,,,
K,Kimmo,1,,,,,,
SP,Someron Pallo,1,,,,,,
EJS,Eigene Jugend MTV Stuttgart,1,,,,,,
D,Deutschland,1,,,,,,
N,Niederlande,1,,,,,,
BU,Bulgarien,1,,,,,,
BE,Belgien,1,,,,,,
P,Polen,1,,,,,,
USA,USA,1,,,,,,
S,Spanien,1,,,,,,
F,Finnland,1,,,,,,